NAME,GROWTH,FLOWER,YEAR,AFS #,DESCRIPTION,PARENTAGE,GROWER
BELL,LABU-TRAL,SGLE,,,LITTLE KNOWN RED & PURPLE.COLOUR SIMILAR MISSION BELLS AND HENRI POINCARE.,PARENTAGE UNKNOWN.LISTED GRO-WEL.SIMILAR HENRI POINCARE,GRO-WEL.N.Z
BELL BUOY,BUSH,SGLE,1973,1075,T&S.BRIGHT RED.C.DARK BLUISH-PURPLE AND FLARED.,PARENTAGE UNKNOWN. VERY HARDY CULTIVAR.,SMALWOOD
BELLA,UPRT BUSH,DUBL,1994,,T.WHITISH PINK.S.PINK INNER.WHITISH PINK OUTER.C.FUCHSIA OR BLUISH PURPLE.,THIS IS VERY SIMILAR TO LUCKY STRIKE AND DU BARRY.,M.NELSON.N.Z
BELLA FORBES,UPRT,DUBL,,1890,T.CERISE; S. CERISE; HELD BACK AGAINST TUBE. C.CREAMY/WHITE VEINED CERISE. VERY FULL.,,
BELLA MADINA,LABU-TRAL,SGLE,1986,1963,T.LONG ORANGE PINK.S.ROSY CERISE TIPS YELLOWISH.C.ROSE CERISE AND ORANGE.,TING A LING X ORANGE CRUSH.,WEEKS.E
BELLA ROSELLA,TRAILER,DUBL,1989,2409,T.GREENISH WHITE.S.PINK WHITE UPPER.LIGHT PINK LOWER.C.MAUVE EDGED MAGENTA.,QUASAR X APPLAUSE.,GARRETT
BELLE DE LISSE,LAX UPRT,DUBL,1985,1845,T.WHITE.S.WHITE INNER.ROSE OUTER.REFLEXED GRN TIPS.C.LONG DARK ROSE PURPLE.,TRAIL BLAZER X UNKNOWN. VERY FROST SHY.,DE GRAAFF
BELSAY BEAUTY,TRAILER,SIDL,1975,1240,T.SHORT PINK.S.SHORT FAT RHODAMINE PINK.C.VIOLET FADING TO CYCLAMEN-PURPLE.,MRS.LYON X UNKNOWN POLLEN PARENT.,RYLE
BELSHARP,LOW BUSH,DUBL,1987,2080,T.CREAM.S.WHITE.WHITE CREPED OUTER.TIPS GREEN.C.SEA LAVENDER-VIOLET.,BLUSH OF DAWN X LA-CAMPANELLA. N.Z.RAISED.,SHARPE.N.Z
BELVOIR BEAUTY,UPRT BUSH,SIDL,1975,1279,T.SHORT WHITE.S.WHITE TIPPED GRN.C.PALE WISTERIA BLUE.EDGED BLUE BIRD BLUE.,CLOVERDALE JEWEL X.,GADSBY
BEN,MED UPRT,DUBL,1984,1748,T&S.CRIMSON.S.HORIZONTAL WITH RECURVED TIPS.C.LILAC-PURPLE.SPLASED CRIMSON.,TIKI X UNKNOWN SEEDLING. RAISED N.Z,BRIGHTWELL
BEN HUR,LABU-TRAL,DUBL,1963,571,T&S.PINK.C.PURPLE.MARBLED WITH CONTRASTING SHADES OF PINK &.WHITE.VERY LARGE,PARENTAGE UNKNOWN.,MARTIN
BENINGA BEAUTY,LABU-TRAL,DUBL,1990,2591,T.GREENISH WHITE.S.WIDE WHITE SHADED ROSE.TWISTED.C.VIOLET.EDGED RED PURPLE,APPLAUSE X(HAPPY WEDDING DAY X WHITE KING.92 IMPORT.LOST,RICHARDSON
BEN'S RUBY,LABU-TRAL,DUBL,1993,,TUBE & SEPAL BRIGHT RED COROLLA TURKEY RED,SPORT FROM ROYAL VELVET,UNKNOWN UK
BERBA'S TRIO,TRAILER,SIDL,1986,1930,SEPALS RED; COROLLA WHITE-VIOLET,LA CAMPANELLA X BRIDESMAID,WESSELING. NED.
BERGENTHEIM,,,,,,,
BERKELEY,LAX UPRT,DUBL,1955,233,T&S PALE ROSE.S.LARGE & RECURVED.C.BRILLIANT TYRIAN ROSE.LRGE GLOBULAR FLRS,PARENTAGE UNKNOWN.,REITER
BERLINER KIND,LOW BUSH,DUBL,1882,,T&S.CERISE-SCARLET.C.WHITE.VEINED PINK AT BASE.LOW BUSH.FLOWERS SMALL.,SCHNEEWITTCHEN X GOLIATH.,EGGBRECH
BERMUDA,UPRT BUSH,DUBL,1960,,T&S.RED.SEPALS RECURVED.C.DARK PURPLE.PETALOIDS RED FLECKED.,PARENTAGE UNKNOWN. RAISED AUSTRALIA. 1992 IMPORT.,LOCKERBIE
BERNADETTE,UPRT BUSH,DUBL,1950,52,T&S.PALE ROSE.C.VERONICA-BLUE.FOLIAGE SMALL AND DARK GREEN.,PARENTAGE UNKNOWN.,SCHNABEL
BERT,TRAILER,SIDL,1999,,SEPALS WHITE WITH LIGHT PINK HUE; COROLLA DEEP PURPLE,,KROM HOLLAND
BERT'S ALPHA,TRAILER/BSKT,,,,TUBE SHORT; LIGHT PINK OVERLAID D. PINK; S. ROSE PINK OVERLAID D.PINK;C;PALE LILAC VEINED D.PINK; CHANCE SEEDLING; PARENTAGE UNKNOWN NEEDS PINCHING;,,KENNERLEY NZ
BERYL,LABU-TRAL,DUBL,1988,,T&S.PINK DEEPER AT EDGES.C.PINK DEEPER AT BASE.MAUVE TONES.BLOTCHED ROSE.,UNKNOWN SPORT. LISTED AND RAISED BY WEAL VIEW.AUSTRALIA,WEALD
BERYLE BAMFORD,UPRT BUSH,DUBL,1984,1749,T.LONG.STREAKED PHLOX-PINK.S.WHITE FLUSHED PINK TIPS GRN.C.WHITE-PHLOX-PINK,PARENTAGE UNKNOWN. RAISED N.Z,BRIGHTWELL.
BERYL'S CHOICE,UPRT BUSH,DUBL,1980,1531,T.SHORT & S.BROAD REFLEXED PINK.C.LIGHT MAUVE PINK.BLOTCHED ROSE AT BASE,SPORT FROM GEORGANA. RAISED AUSTRALIA.,RICHARDSON
BETH ROBLEY,TRAILER,DUBL,1971,992,T&S.SALMON.C.SALMON ORANGE.,PARENTAGE UNKNOWN.,TIRET
BETTY MASON,LABU-TRAL,DUBL,1980,,T&S.DEEP ROSE-PINK.C.MAGENTA FADING TO ROSE-MAGENTA.BASE ROSE.VEINING ROSE.,PARENTAGE UNKNOWN.,DAUE.MRS.N.Z
BEULAH,TRAILER,DUBL,1960,,T&S.WHITE.S.TIPPED GRN.C.WHITE WITH LIGHT PURPLE MARBLING AT BASE.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
BEVERLEY,UPRT BUSH,SGLE,1976,1378,T.SHORT EMPIRE ROSE S.NEYRON ROSE.TIPS GREEN.C.FUCHSIA PURPLE.BASE ROSE.,PERCY HOLMES X.,HOLMES
BEWITCHED,LABU-TRAL,SIDL,1951,94,T&.LONG SEPALS WHITE FLUSHED PALE PINK.C.DUBONNET-PURPLE.BASE FLUSHED WHITE,PARENTAGE UNKNOWN.,TIRET
BIANCA,TRAILER,DUBL,1967,715,T.SHORT WHITE.S.SHORT WHITE.C.WHITE.FLOWERS LARGE.,PARENTAGE UNKNOWN. FLOWERS VERY SIMILAR TO WHITE KING.,PENNISI
BICENTENNIAL,LABU-TRAL,DUBL,1976,1344,T.THIN WHITE.S.INDIAN ORANGE.C.MAGENTA CENTRE.SURROUNDED BY INDIAN ORANGE.,PARENTAGE UNKNOWN.,PASKESEN
BIG BLUE BOY,UPRT BUSH,DUBL,1970,935,T.WHITE.S.WHITE INNER.PINK OUTER.GREEN TIPS.C.DEEP PURPLE TO DARK BURGUNDY.,PARENTAGE UNKNOWN.,GORMAN
BILBERRY SORBET,UPRT/TRAIL,SIDL/DBL,2002,5099,SEPALS REDDISH PURPLE; C. DARK BEETROOT RED,WALZ MANDOLINE X ROHEES MINTAKA,MICHIELS BELG
BILLY GREEN,UPRIGHT,SGLE,1966,,T.LONG.S.AND C.ALL PINKISH SALMON SELF.FOLIAGE OLIVE GREEN.TRIPHYLLA TYPE.,PARENTAGE UNKNOWN.,UNKNOWN
BINGO,TRAILER,SIDL,1971,949,T&S WHITE.C.REDISH PINK WITH WHITE MARBLING.LONG PETALS.,PARENTAGE UNKNOWN.,CASTRO
BIRD OF PARADISE,,,,,RAISED BY RANKIN .DESCRIPTION NOT KNOWN.,PARENTAGE UNKNOWN.N.Z. NOT THOUGHT TO BE AS BY BLAND.,RANKIN.N.Z
BISHOP,TRAILER,DUBL,1990,2588,T.GREEN.S.RECURVED.WHITE ON TOP.WHITE-VIOLET UNDERNEATH.TIPS GREEN.C.PURPLE.,HAPPY WEDDING DAY X WHITE KING X CONTENDER.IMPORT. LOST,RICHARDSON
BISHOP'S BELLS,UPRT BUSH,SIDL,1970,869,T&S.VERY LONG.ROSE RED.TIPS.GRN.C.BISHOPS VIOLET AGEING TO REDDISH-PURPLE.,GADSBY HAS SLEIGH BELLS X MISSION BELLS.BOUL.CAROLINE X.,GADSBY
BITS,TRAILER,DUBL,1986,1950,TUBE GREEN; SEPALS WHITE; COROLLA VIOLET,WHITE KING X LITTLE BIT,WILKINS/HIGGINB
BITTERSWEET,TRAILER,DUBL,1971,953,T.PALE PINK.S.PALE PINK & WHITE.WHITE INNER.C.ROSE.SALMON MARBLING.,PARENTAGE UNKNOWN.,KENNETT
BLACK PRINCE,LOW BUSH,SGLE,1861,,T&S.RED.C.PURPLE. SIMILAR TO LORD BYRON. SYN.GRUSS AUS DEM BODETHAL.,PARENTAGE UNKNOWN.SYN.GRUSS AU DEM BODETHAL.,BANKS
BLANCHE REGINA,TRAILER,DUBL,1974,1175,T&S.WHITE.S.REFLEXED.C.AMETHYST VIOLET.CHANGING RHODAMINE-PURPLE.,LA-CAMPANELLA X FLIRTATION WALTZ.,CLYNE
BLAND'S NEW STRIPED,UPRT BUSH,SGLE,1872,,T&S.CERISE.S.RECURVED.C.RICH PURPLE.STREAKED PINK DOWN CENTRE OF EACH PETAL.,PARENTAGE UNKNOWN.,BLAND
BLAUTOPF,UPRIGHT,DUBL,1994,,SEPALS WHITE; COROLLA BLUISH PURPLE,,DETRICH DENMARK
BLESSED EVENT,UPRT BUSH,SIDL,1975,,T&S PINK.C.MAUVE WITH PINK PETALOIDS.FLOWERS LARGE.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
BLOEMEN JETJE,HALF TRAILER,DUBL,,6022,TUBE WHITE WITH GREEN; SEPALS PORCELAIN WHITE; COROLLA,,MICHIELS MARCEL
BLOODY MARY,,,,,,,
BLOOMER GIRL,TRAILER,DUBL,1951,105,T.SHORT.S.LONG.BRIGHT CARMINE.C.PALEST PINK OVERLAID WITH PINK PETALOIDS.,PARENTAGE UNKNOWN.,WALTZ
BLOSSOM TIME,LABU-TRAL,SGLE,1952,142,T&S.WHITE.S.CURVED AND UPTURNED.C.SOFT PINK.FLOWERS LARGE.WILL TRAIL.,PARENTAGE UNKNOWN.,TIRET
BLOWICK,UPRT-BUSH,SGLE,,,T; WHITE WITH PINK FLUSH; S. CARMINE-PINK; BASE WHITE; C.BLUE-PURPLE .,CAN BE TRAINED TO ANY SHAPE,UNKNOWN
BLUE BEAUTY,VIG UPRT,DUBL,1854,,T.SHORT.RED.S.ERECT RED.C.BLUISH VIOLET.,PARENTAGE UNKNOWN. VERY OLD CULTIVAR.,BULL
BLUE BELL,,,,,LISTED BY JORDON.NELSON.SAYS NOT AS BLUE BELLS IN BOULLEMIER.NO DESCRIPTION.,PARENTAGE UNKNOWN.,UNKNOWN
BLUE BELLS,MED BUSH,SIDL,1952,135,T&S.ROSE.S.UPTURNED.C.LIGHT BLUE.BASE RED AND RED VEINS.BELL SHAPED.,PARENTAGE UNKNOWN.N.Z.HAS ANOTHER BLUE BELLS.,BROWN
BLUE BOY,UPRT BUSH,DUBL,1971,958,T.WHITE.S.SHORT WHITE TINTED PINK.C.DEEP VIOLET BLUE.BASE PINK.FLOWERS LARGE,NOT AS BLUE BOY BY FRY.1889.NOT AS BIG BLUE BOY.,PASKESEN
BLUE BUSH,VIG UPRT,SGLE,1973,1120,T&S.ROSY RED.S.LONG.C.BLUE BIRD BLUE.FADING TO BISHOP'S VIOLET.,LEONORA X W.P.WOOD X MAGELLANICA ALBA.SEE GADSBY LISTING,GADSBY
BLUE BUTTERFLY,TRAILER,SIDL,1960,438,T.SHORT.WHITE.S.LONG.WHITE.C.DEEP VIOLET-BLUE SPLASHED WHITE.,PARENTAGE UNKNOWN.,WALTZ
BLUE DANCING DOLL,LABU-TRAL,SGLE,1930,,T&S.BRIGHT RED.C.PURPLISH BLUE.FLOWERS MEDIUM.,PARENTAGE UNKNOWN.,UNKNOWN
BLUE DANUBE,LABU-TRAL,DUBL,1938,,T&S.ROSY-PINK.C.BLUE MARBLED BLUE AND RED.LARGE FLOWERS.,PARENTAGE UNKNOWN.,REITER
BLUE ELF,UPRT BUSH,SGLE,1968,1116,T&S.ROSE-PINK.S.CURL TO TUBE.SHORT & NARROW.C.LIGHT BLUE EDGED VIOLET.BELL.,PARENTAGE UNKNOWN.,HALL
BLUE EYES,LABU-TRAL,DUBL,1954,205,T&S.PALE PINK.C.BRIGHT BLUE.FLOWERS LARGE.WILL TRAIL.,PARENTAGE UNKNOWN.,REEDSTROM
BLUE FRILLS,LABU-TRAL,DUBL,1960,,T&S.RED.C.BLUISH-MAUVE.LARGE FLOWERS.LITTLE KNOWN AUSTRALIAN RAISING.,PARENTAGE UNKNOWN. RAISED AUSTRALIA.,LOCKERBIE
BLUE GEM,UPRT BUSH,SGLE,1970,,T&S.CERISE.C.LILAC BLUE.VERY LARGE.FLOWERS.,PARENTAGE UNKNOWN.,UNKNOWN.
BLUE GOWN,UPRIGHT,DUBL,,,TUBE & SEPALS CERISE; COROLLA BLUISH PURPLE SPLASHED PINK AND CARMINE. LARGE BLOOMS.,UNKNOWN,MILNE GB
BLUE HALO,TRAILER,DUBL,1981,1615,T.SHORT.THIN PINKISH-IVORY.S.BROAD.PINK-WHITE.C.WHITE PALE PINK.EDGED BLUE.,(TRADE WINDS X DEE DEE)X FAN TAN.,STUBBS
BLUE HAZE,MED UPRT,DUBL,1987,2081,T&S.WHITE.TINGED PINK.TIPS GREEN.C.WISTERIA BLUE OVERLAID PINK.BELL SHAPE.,SNOWFIRE X VOODOO.,SHARPE.N.Z
BLUE KEYSTONE,UPRT BUSH,SGLE,,,T&S WHITE.C.LAVENDER.FLOWERS MEDIUM. NO DATE.,PARENTAGE UNKNOWN.THOUGHT TO BE SPORT FROM KEYSTONE.N.Z.,McCONCHIE
BLUE LAGOON (AMER),UPRIGHT,DUBL,1961,482,T&S.ROSY RED.C.MEDIUM BLUE.VERY LARGE FLOWERS.,PARENTAGE UNKNOWN.,TIRET
BLUE MINK,LOW UPRT,SGLE,1976,1335,T.SHORT CRIMSON.S.CRIMSON BROAD AND REFLEXED.C.DARK VIOLET.BELL SHAPE.,GRUS AUS DEM BODETHAL X DUTCH MILL.,HOLMES.R
BLUE MIST,TRAILER,DUBL,1964,595,T&S.ROSY PINK.C.BLUE AND PINK.,PARENTAGE UNKNOWN.,TIRET
BLUE MOON,VIG UPRT,SIDL,1938,,T&S.SHORT.BRIGHT RED.C.CLEAR BLUE.GROWTH VIGOROUS.,ROLLA X HERON. ONE OF THE FIRST TRI-COLOURS.,NIEDERHOLZER
BLUE MULAN,UPRT BUSH,SGLE,1953,,T&S.CLEAR PINK.C.ORCHID BLUE.GROWTH BUSHY.,PARENTAGE UNKNOWN.,NELSON
BLUE PENDANT,LABU-TRAL,DUBL,1949,,T&S.PALE TYRIAN ROSE.TIPS GREEN.C.COMPANULA VIOLET WITH A BLUE CAST.,PARENTAGE UNKNOWN.,BROWN
BLUE PETTICOAT,TRAILER,DUBL,1954,216,SEPALS WHITE FLUSH PINK; COROLLA SILVERY LILAC-LAVENDER,PARENTAGE UNKNOWN,EVANS/REEVES US
BLUE PINWHEEL,TRAILER,SGLE,1970,902,T.SHORT RED.S.LONG & CURLING RED.C.ORCHID BLUE.FLOWERS LONG.FOLIAGE SMALL.,ESPERANZA X SELF.,STUBBS
BLUE RIBBON,LABU-TRAL,DUBL,1967,695,T&S.PALE PINK.C.WHITE AND SQUARE SHAPED.SEPALS CLING TO COROLLA.,PARENTAGE UNKNOWN.,FUCHSIA-LA
BLUE SATIN,LABU-TRAL,DUBL,1969,835,T.SHORT.S.LONG.GLISTENING WHITE.C.INDIGO BLUE.BASE WHITE.FLARING WITH AGE.,PARENTAGE UNKNOWN.,WALKER
BLUE SLEIGHBELLS,UPRT BUSH,SGLE,1970,915,T&S WHITE.C.LAVENDER BLUE. BELL SHAPED.,PARENTAGE UNKNOWN.,BARTON.T.N.Z
BLUE SMOKE,LABU-TRAL,DUBL,1987,2281,T.PALE PINK.S.MOTTLED PINK & CREAM.TIPS BRIGHT PINK.RECURVED.C.LIGHT VIOLET.,SNOWFIRE X (WHITE KING X BLUSH OF DAWN).,SHARPE.N.Z
BLUE STARS,,,,,NO INFORMATION,,
BLUE SWIRL,MED UPRT,SGLE,1987,2082,T.WHITE STREAKED PINK.S.WHITE.C.SPECTROM VIOLET.MATURING VIOLET PURPLE.,(VOODOO X SEEDLING) X SLEIGH BELLS.N.Z.TWO OF THIS NAME.,SHARPE.N.Z
BLUE VEIL,TRAILER,DUBL,1980,,T&S.PURE WHITE.S.BROAD.C.LOBELIA BLUE.FLOWERS LARGE. RED STAMENS.,PARENTAGE UNKNOWN.,PACEY
BLUE WAVES,UPRT BUSH,DUBL,1954,201,T.SHORT PALE PINK.S.UPTURNED NEYRON ROSE.C.DEEP COMPANULA VIOLET.,PARENTAGE UNKNOWN.,WALTZ
BLUE WONDER,UPRIGHT,DUBL,1946,,T&S.PHLOX PINK.C.BLUE.,THIS IN N.Z.BUT CAN FIND NO REFFERENCE.SYN WONDER BLUE.,NIEDERHOLZER
BLUEBIRD,TRAILER,SIDL,1957,309,T.SHORT & S.LONG POINTED SLENDER SNOWY WHITE.C.DEEPEST VIOLET BLUE.,PARENTAGE UNKNOWN.SOMETIMES INCORRECTLY SPELT BLUE BIRD.,WALTZ
BLUETTE,UPRT BUSH,DUBL,1949,,T&S.RED.C.BLUE EDGED WITH PINK.FLOWERS LONG NARROW AND SMALL,PARENTAGE UNKNOWN.,SCHMIDT
BLUMENFREUNDEN,UPRIGHT,SGLE,2003,5195,SEPALS DEEP RED; PINK AT BASE; COROLLA LIGHT PURPLE; PINK AT BASE,ROHEES NEW MILLENIUM X FRANK SAUNDERS,MICHIELS BELGIUM
BLUSH OF DAWN,LABU-TRAL,DUBL,1962,516,T&S.WAXY WHITE.TIPS GREEN.C.SILVER GREY AND LAVENDER BLUE.,PARENTAGE UNKNOWN.,MARTIN
BOB MAJOR,,,,,NO DESCRIPTION. RAISED BY RANKIN. N.Z.,TIKI X NIGHTINGALE.,RANKIN.N.Z
BOBBY SHAFTOE,UPRT BUSH,SIDL,1973,1113,T.FROSTY WHITE FLUSHED PINK.S.CLEAR FROSTY WHITE TIPS LEMON.C.FROSTY WHITE.,PARENTAGE UNKNOWN.,RYLE
BOBBY'S RED WINGS,LAX UPRT,DUBL,1985,1813,T&S.CRIMSON.TIPS RECURVED AND TWISTED.C.AMETHYST VIOLET TO PETUNIA-PURPLE.,TEXAS LONGHORN X VODOO.,SHARPE.N.Z
BOB'S CHOICE,UPRIGHT,SGLE,,,TUBE WHITE; ROSE-FLUSHED & VEINED.s; WHITE WITH PINK VEINS; UNDERSIDE PALE PINK,,UNKNOWN
BODENSEE,UPRIGHT,SIDL,1970,,T & SEPALS ROSE; COROLLA WHITE VEINED ROSE,,NUTZINGER
BON ACCORDE,LOW BUSH,SGLE,1861,,T&S.WAXY IVORY WHITE.C.PALE PURPLE.SUFFUSED WHITE AT BASE.,PARENTAGE UNKNOWN.,CROUSSE
BONANZA,LAX UPRT,DUBL,1936,,T&S.SPINEL PINK.C.SPECTRUM-VIOLET.FADING TO PETUNIA PURPLE.,PARENTAGE UNKNOWN.,WALKER
BONANZA SPORT,TRAL-UPBU,DUBL,1977,1430,T.SHORT PINK.S.LIGHT PINK TINGED SALMON.C.LILAC TO PINK.LRGE. 1992 IMPORT.,SPORT FROM BONANZA.RENAMED AND REGISTERED SUZY NO.1430.,CARLSON
BON-BON,LABU-TRAL,DUBL,1963,592,T.LONG GREENISH WHITE.S.PALE PINK.C.VERY PALE PINK.WILL TRAIL.,PARENTAGE UNKNOWN.,KENNETT
BONNIE LASS,UPRT BUSH,DUBL,1962,522,T.FROSTY WHITE.S.WHITE-PINK.REFLEXED.C.CLEAR LILAC FADING TO ROSE-PINK.,PARENTAGE UNKNOWN.TWO OF THIS NAME IN N.Z.SINGLE & DOUBL,WALTZ
BONNIE LASS,UPRT BUSH,SGLE,,,T&S.FROSTY WHITE.REFLEXED.C.CLEAR LILAC.FADING ROSE.,PARENTAGE UNKNOWN.THIS IS A SINGLE AND LISTED IN N.Z.,UNKNOWN
BORA BORA,TRAILER,DUBL,1966,688,T&S.WHITE.C.PURPLISH-BLUE FADING TO PINKISH PURPLE.SMALL GREEN PETALOIDS.,PARENTAGE UNKNOWN.,TIRET
BORDER QUEEN,UPRIGHT,SGLE,1974,1167,T.SHORT THIN.S.RHODAMINE PINK.TIPS PEA GREEN.C.AMETHYST VIOLET.BELL SHAPE.,LEONORA X LENA DALTON.SISTER SEEDLING TO EDEN LADY.,RYLE
BOSUN'S NORAH,UPRT BUSH,SGLE,,,SEPALS SALMON ORANGE; COROLLA SALMON; MED.BLOOMS LONG TUBE,,
BOTANISCHE GARTEN BONN,SEMI TRAILER,DUBL,2009,,NO INFORMATION,,MICHIELS BEL
BOUDOIR,LABU-TRAL,DUBL,1954,212,T&S.CREAM.TIPS GREEN.C.PALE VIOLET.PINK AT BASE.LARGE FLOWERS.,PARENTAGE UNKNOWN.,REITER
BOUFFANT,CASCADE,SGLE,1949,32,T&S.RED.C.WHITE VEINED ROSY RED.FLOWERS LARGE.,PARENTAGE UNKNOWN.,TIRET
BOUNTIFUL,UPRT BUSH,DUBL,1963,564,T&S.PALEST PINK.TIPS GREEN.C.MILKY WHITE.BASE OF SEPALS VEINED PINK.,PARENTAGE UNKNOWN.TWO OF THIS NAME.OTHER A SINGLE BY LYE,MUNKNER
BOUQUET,LOW BUSH,DUBL,1893,,T&S.RED.C.VIOLET AGEING TO REDISH PURPLE.FLR.SMALL.BUSHY DWARF.,MYRTIFOLIA X.,LEMOINE
BOW BELLS,BUSH,SIDL,1972,1051,T.SHORT.S.LONG WHITE.TIPS GREEN.C.MAGENTA.WHITE AT BASE.LONG PETALS.,PARENTAGE UNKNOWN.,HANDLEY
BRAAMTS GLORIE,UPRIGHT,SGLE,1998,,T & SEPALS BRIGHT PINK; COROLLA PINK/PURPLE,,BUITTING HOL.
BRANDT'S 500 CLUB,UPRT BUSH,SGLE,1955,,T&S.PALE CERISE.C.CERISE SHADED ORANGE.ALMOST SELF.VERY LONG SEPALS.,PARENTAGE UNKNOWN.,BRANDT
BREEDER'S DELIGHT,UPRIGHT,SGLE,1988,,T&S.NEYRON ROSE.C.IMPERIAK PURPLE.SHADED LIGHT ROSE AT BASE.,CLOVERDALE JEWEL X PROSPERITY.,SINTON
BREEVIS CLEONE,UPRIGHT TRAILER,SGLE,2007,6638,SEPALS DARK REDDISH PURPLE; COROLLA PURPLE,,VAN BREE
BREEVIS DANIS,UPRIGHT,SIDL,2004,5508,TUBE & SEPALS PALE PINK; COROLLA DEEP PURPLE,(?CAMERON RYLE? X ?PARASOL) X ?SLEIGHBELLS,VAN BREE
BREEVIS ELECTO,UPRIGHT,SIDL,2005,5888,SEPALS ROSE UPPER; MAGENTA LOWER; COROLLA PURPLE,BORT BECKMAN X ROESSE APUS,VAN BREE
BREEVIS MYSIS,,,,,NO INFORMATION,,
BREEVUS CLORINDE,UPRIGHT,SGLE,2005,5890,SEPALS RED; COROLLA REDDISH PURPLE,?SWANLEY GEM X ?ROESSE ? APUS,VAN BREE
BRENDA,TALL UPRT,DUBL,1980,1575,T.SHORT PALEST PINK.S.REFLEXED WHITE TINGED PINK.C.TWO SHADES OF PINK.,PARENTAGE UNKNOWN.,RYLE
BRIAR CARTER,UPRT BUSH,SIDL,,,T&S.PINK.C.LIGHT PINK.VEINED DARKER PINK.,PARENTAGE UNKNOWN.UNKNOWN SEEDLING.,DAUE.MRS.N.Z
BRIDAL BOUQUET,UPRT BUSH,SGLE,1862,,T&S.WHITE TINGED PINK.C.WAXY WHITE.FLOWERS MEDIUM.,PARENTAGE UNKNOWN.,BANKS
BRIDAL PINK,TRAILER,DUBL,,,SEPALS; LIGHT PINK TIPPED GREEN; COROLLA BLUSH; OVERLAYED PINK,PARENTAGE UNKNOWN,
BRIDAL VEIL,TRAILER,DUBL,1963,586,T&S.WHITE.TIPS GREEN.C.CREAMY WHITE.FOLIAGE SMALL GLOSSY.,PARENTAGE UNKNOWN.,WALTZ
BRIDESMAID,UPRT BUSH,DUBL,1952,143,TUBE & SEPALS WHITE; COROLLA PALE ORCHID,PARENTAGE UNKNOWN,TIRET
BRIGADOON,LAX UPRT,DUBL,1957,322,T.PINK.S.LONG BROAD RECURVED PINK.TIPS GREEN.C.VIOLET-BLUE.MARBLED PINK.,PARENTAGE UKNOWN.,ERICKSON
BRIGHTON BELLE,TALL UPRT,SGLE,1985,,T.LONG ROSY-RED.S.SHORT ROSY-RED.C.PETALS SALMON-PINK.,PARENTAGE UNKNOWN.TRIPHYLLA TYPE.,GOULDING
BRILLIANT,VIG UPRT,SGLE,1865,,T&S.SCARLET.S.RECURVED.C.VIOLET MAGENTA VEINED RED.,PARENTAGE UNKNOWN. THREE LISTED OF THIS NAME.,BULL
BRISTOL RUBY,TRAILER,SIDL,,,T&S.RED.C.WHITE.VEINED RED.SMALLISH S-D.BLOOMS. LISTED BALLERINA FUCHSIAS.,PARENTAGE UNKNOWN. RAISED N.Z,UNKNOWN.N.Z
BRITISH JUBILEE,UPRIGHT,DUBL,1988,,T.LONG.THIN DAWN PINK.S.LONG NARROW SALMON PINK.C.SALMON-ORANGE TO CLARET RE,IGLOO MAID X F.FULGENS VAR.RUBRA GRANDIFLORA.,BIELBY-OXTOB
BRITISH STERLING,UPRT BUSH,SIDL,1973,1084,T.SHORT THICK WHITE.S.WHITE TOP.ROSY PINK UNDER.TIPS GREEN C.LAVENDER-ROSE.,PARENTAGE UNKNOWN.,FOSTER
BRIXHAM ORPHEUS,TALL UPRT,SGLE,1981,1643,T&S.LONG VENETIAN PINK.TIPS GREEN.SEPALS HORIZONTAL.C.BLOOD RED.,PARENTAGE UNKNOWN.,HOLMES.R
BROOKLYN KATE,UP/TRAILER,DUBL,2010,7389,T.WHITE;S.WHITE TIPPED APPLE GREEN; C.DARK REDDISH/PURPLE,MANFRIED KLEINAU X IMPERIAL FANTASY,MICHIELS 
BROOKWOOD BELLE,UPRT BUSH,DUBL,1988,,T&S.DEEP CERISE.C.WHITE FLUSHED PALE PINK. VEINED DEEP ROSE.,ANN H.TRIPP X HEIDI ANN. 1997 IMPORT BY HAYES.,GILBERT.W
BRUTUS,VIG UPRT,SGLE,1897,,T.SHORT CERISE.S.RECURVED RICH CERISE.C.RICH DARK PURPLE AGEING TO RED.,PARENTAGE UNKNOWN.,BULL
BUDDHA,UPRIGHT,DUBL,1963,,T&S.WHITE.FLUSHED PINK.C.DEEP PLUM-WINE.VERY LARGE AND COMPACT BLOOMS.,REFER GERDA MANTHEY. SHE HAS THIS LISTED AS REG NO.799.,FUCHSIA-LA
BUDDHA,UPRIGHT,SIDL,1968,799,T&S.RICH WINE.C.RICH WINE SELF.NOT THE BUDDHA USUALLY GROWN IN N.Z.,PARENTAGE UNKNOWN.,FUCHSIA-LA
BUNNY,UPRT BUSH,SIDL,1965,,T&S.CERISE.C.LILAC-PINK.EDGED VIOLET ROSE.DISTINCT PICOTTE EDGEING.,PARENTAGE UNKNOWN.,NEED
BURGUNDIAN,LABU-TRAL,DUBL,1955,221,T&S.DEEP CARMINE.C.DARK MAROON.SHADED DARK RED.,GYPSY QUEEN X UNKNOWN SEEDLING. SIMILAR TO PLUM GLORY,SCHNABEL
